File,Language,Corpus,Code,Age,Sex,Group,Race,SES,Role,Education,Custom_field,#utterances,#morphemes,morphemes/utterances,Standard deviation
20511a.cha,fra,Lyon,CHI,2;05.11,female,.,.,.,Target_Child,.,.,498,875,1.757,0.944
20511b.cha,fra,Lyon,CHI,2;05.11,female,.,.,.,Target_Child,.,.,523,949,1.815,1.034
20523a.cha,fra,Lyon,CHI,2;05.23,female,.,.,.,Target_Child,.,.,411,629,1.53,0.846
20523b.cha,fra,Lyon,CHI,2;05.23,female,.,.,.,Target_Child,.,.,475,814,1.714,0.948
20525a.cha,fra,Lyon,CHI,2;05.25,female,.,.,.,Target_Child,.,.,483,912,1.888,1.049
20525b.cha,fra,Lyon,CHI,2;05.25,female,.,.,.,Target_Child,.,.,333,630,1.892,0.987
20621a.cha,fra,Lyon,CHI,2;06.21,female,.,.,.,Target_Child,.,.,346,893,2.581,2.012
20621b.cha,fra,Lyon,CHI,2;06.21,female,.,.,.,Target_Child,.,.,225,533,2.369,1.802
20712a.cha,fra,Lyon,CHI,2;07.12,female,.,.,.,Target_Child,.,.,334,749,2.243,1.518
20712b.cha,fra,Lyon,CHI,2;07.12,female,.,.,.,Target_Child,.,.,234,523,2.235,1.479
20800a.cha,fra,Lyon,CHI,2;08.,female,.,.,.,Target_Child,.,.,496,1090,2.198,1.433
20800b.cha,fra,Lyon,CHI,2;08.,female,.,.,.,Target_Child,.,.,504,1083,2.149,1.357
20906a.cha,fra,Lyon,CHI,2;09.06,female,.,.,.,Target_Child,.,.,423,854,2.019,1.255
20906b.cha,fra,Lyon,CHI,2;09.06,female,.,.,.,Target_Child,.,.,278,501,1.802,1.209
20916a.cha,fra,Lyon,CHI,2;09.16,female,.,.,.,Target_Child,.,.,287,834,2.906,2.045
20916b.cha,fra,Lyon,CHI,2;09.16,female,.,.,.,Target_Child,.,.,234,637,2.722,1.927
20926a.cha,fra,Lyon,CHI,2;09.26,female,.,.,.,Target_Child,.,.,231,532,2.303,1.378
20926b.cha,fra,Lyon,CHI,2;09.26,female,.,.,.,Target_Child,.,.,128,355,2.773,1.746
20929a.cha,fra,Lyon,CHI,2;09.29,female,.,.,.,Target_Child,.,.,329,714,2.17,1.369
20929b.cha,fra,Lyon,CHI,2;09.29,female,.,.,.,Target_Child,.,.,411,894,2.175,1.391
21020a.cha,fra,Lyon,CHI,2;10.20,female,.,.,.,Target_Child,.,.,318,904,2.843,1.725
21020b.cha,fra,Lyon,CHI,2;10.20,female,.,.,.,Target_Child,.,.,267,767,2.873,2.278
30000a.cha,fra,Lyon,CHI,3;,female,.,.,.,Target_Child,.,.,336,971,2.89,1.838
30000b.cha,fra,Lyon,CHI,3;,female,.,.,.,Target_Child,.,.,281,717,2.552,1.753
30015a.cha,fra,Lyon,CHI,3;00.15,female,.,.,.,Target_Child,.,.,275,732,2.662,1.712
30015b.cha,fra,Lyon,CHI,3;00.15,female,.,.,.,Target_Child,.,.,348,945,2.716,1.762
