File,Language,Corpus,Code,Age,Sex,Group,Race,SES,Role,Education,Custom_field,#utterances,#morphemes,morphemes/utterances,Standard deviation
020304.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,107,2.14,0.872
020318.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,48,105,2.188,1.014
020403.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,47,115,2.447,1.068
020415.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,48,91,1.896,0.848
020430.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,104,2.122,0.961
020512.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,112,2.24,1.087
020603.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,48,119,2.479,1.041
020617.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,159,3.245,1.635
020701.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,132,2.694,1.11
020714.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,46,115,2.5,1.211
020801.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,146,2.98,1.622
020816.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,106,2.163,0.976
020904.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,116,2.367,1.24
020918.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,47,134,2.851,1.337
021002.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,115,2.347,1.188
021016.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,48,127,2.646,1.181
021030.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,172,3.51,2.374
021113.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,48,151,3.146,1.5
021128.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,48,199,4.146,1.893
030011.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,169,3.449,1.959
030025.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,157,3.204,1.969
030109.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,191,3.898,2.013
030126.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,46,154,3.348,1.618
030209.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,47,175,3.723,2.101
030221.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,162,3.306,1.417
030304.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,46,177,3.848,2.377
030318.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,47,186,3.957,2.042
030401.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,198,4.041,2.649
030418.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,238,4.857,2.763
030501.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,46,150,3.261,1.58
030515.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,48,215,4.479,2.466
030529.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,179,3.653,1.791
030609.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,48,210,4.375,2.195
030707.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,233,4.66,2.196
030801.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,235,4.7,2.256
030814.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,232,4.735,1.946
030826.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,217,4.34,1.966
030916.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,232,4.64,2.681
031015.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,233,4.66,2.991
031101.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,47,183,3.894,1.97
031114.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,189,3.857,2.634
040014.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,236,4.72,2.608
040115.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,209,4.18,2.985
040217.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,258,5.16,3.63
040309.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,271,5.42,2.808
040401.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,234,4.776,2.75
040413.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,257,5.14,3.027
040511.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,238,4.76,2.438
040624.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,234,4.776,2.574
040701.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,254,5.184,3.756
040729.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,257,5.245,2.503
040902.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,230,4.694,3.112
041002.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,239,4.78,2.46
041023.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,235,4.7,2.722
050212.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,238,4.857,2.65
