File,Language,Corpus,Code,Age,Sex,Group,Race,SES,Role,Education,Custom_field,#utterances,#morphemes,morphemes/utterances,Standard deviation
20516a.cha,fra,Lyon,CHI,2;05.16,female,.,.,.,Target_Child,.,.,219,562,2.566,2.327
20516b.cha,fra,Lyon,CHI,2;05.16,female,.,.,.,Target_Child,.,.,208,635,3.053,2.376
20600a.cha,fra,Lyon,CHI,2;06.,female,.,.,.,Target_Child,.,.,234,607,2.594,2.383
20600b.cha,fra,Lyon,CHI,2;06.,female,.,.,.,Target_Child,.,.,144,323,2.243,1.604
20614a.cha,fra,Lyon,CHI,2;06.14,female,.,.,.,Target_Child,.,.,235,774,3.294,2.277
20614b.cha,fra,Lyon,CHI,2;06.14,female,.,.,.,Target_Child,.,.,213,699,3.282,2.662
20716a.cha,fra,Lyon,CHI,2;07.16,female,.,.,.,Target_Child,.,.,250,603,2.412,1.948
20716b.cha,fra,Lyon,CHI,2;07.16,female,.,.,.,Target_Child,.,.,248,619,2.496,2.274
20814a.cha,fra,Lyon,CHI,2;08.14,female,.,.,.,Target_Child,.,.,218,654,3,2.33
20814b.cha,fra,Lyon,CHI,2;08.14,female,.,.,.,Target_Child,.,.,186,512,2.753,2.345
20900a.cha,fra,Lyon,CHI,2;09.,female,.,.,.,Target_Child,.,.,187,603,3.225,2.559
20900b.cha,fra,Lyon,CHI,2;09.,female,.,.,.,Target_Child,.,.,176,664,3.773,3.392
20906a.cha,fra,Lyon,CHI,2;09.06,female,.,.,.,Target_Child,.,.,201,703,3.498,3.023
20906b.cha,fra,Lyon,CHI,2;09.06,female,.,.,.,Target_Child,.,.,236,937,3.97,3.272
20927a.cha,fra,Lyon,CHI,2;09.27,female,.,.,.,Target_Child,.,.,241,728,3.021,2.482
20927b.cha,fra,Lyon,CHI,2;09.27,female,.,.,.,Target_Child,.,.,196,607,3.097,2.586
21024a.cha,fra,Lyon,CHI,2;10.24,female,.,.,.,Target_Child,.,.,232,713,3.073,2.637
21024b.cha,fra,Lyon,CHI,2;10.24,female,.,.,.,Target_Child,.,.,249,939,3.771,3.189
21114a.cha,fra,Lyon,CHI,2;11.14,female,.,.,.,Target_Child,.,.,186,537,2.887,2.74
21114b.cha,fra,Lyon,CHI,2;11.14,female,.,.,.,Target_Child,.,.,259,775,2.992,2.648
30102a.cha,fra,Lyon,CHI,3;01.02,female,.,.,.,Target_Child,.,.,175,618,3.531,3.124
30208a.cha,fra,Lyon,CHI,3;02.08,female,.,.,.,Target_Child,.,.,210,997,4.748,4.367
30208b.cha,fra,Lyon,CHI,3;02.08,female,.,.,.,Target_Child,.,.,102,339,3.324,2.716
30223a.cha,fra,Lyon,CHI,3;02.23,female,.,.,.,Target_Child,.,.,234,843,3.603,3.195
30223b.cha,fra,Lyon,CHI,3;02.23,female,.,.,.,Target_Child,.,.,209,877,4.196,3.443
30521a.cha,fra,Lyon,CHI,3;05.21,female,.,.,.,Target_Child,.,.,149,572,3.839,2.544
30521b.cha,fra,Lyon,CHI,3;05.21,female,.,.,.,Target_Child,.,.,145,660,4.552,3.257
30619a.cha,fra,Lyon,CHI,3;06.19,female,.,.,.,Target_Child,.,.,118,415,3.517,2.654
30619b.cha,fra,Lyon,CHI,3;06.19,female,.,.,.,Target_Child,.,.,195,763,3.913,3.199
30716a.cha,fra,Lyon,CHI,3;07.16,female,.,.,.,Target_Child,.,.,138,508,3.681,2.787
30716b.cha,fra,Lyon,CHI,3;07.16,female,.,.,.,Target_Child,.,.,154,620,4.026,3.344
30904a.cha,fra,Lyon,CHI,3;09.04,female,.,.,.,Target_Child,.,.,174,805,4.626,3.532
30904b.cha,fra,Lyon,CHI,3;09.04,female,.,.,.,Target_Child,.,.,196,673,3.434,2.304
31108a.cha,fra,Lyon,CHI,3;11.08,female,.,.,.,Target_Child,.,.,135,496,3.674,2.969
31108b.cha,fra,Lyon,CHI,3;11.08,female,.,.,.,Target_Child,.,.,139,530,3.813,3.282
40005a.cha,fra,Lyon,CHI,4;00.05,female,.,.,.,Target_Child,.,.,187,682,3.647,2.758
40005b.cha,fra,Lyon,CHI,4;00.05,female,.,.,.,Target_Child,.,.,188,751,3.995,2.913
40005c.cha,fra,Lyon,CHI,4;00.05,female,.,.,.,Target_Child,.,.,258,1088,4.217,3.079
