File,Language,Corpus,Code,Age,Sex,Group,Race,SES,Role,Education,Custom_field,#utterances,#morphemes,morphemes/utterances,Standard deviation
021005.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,45,115,2.556,1.221
021011.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,44,94,2.136,1.254
021020.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,42,104,2.476,1.367
021024.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,45,111,2.467,1.558
021102.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,45,116,2.578,1.256
021117.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,43,108,2.512,1.246
021123.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,109,2.224,1.282
021130.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,97,1.94,1.362
030018a.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,44,134,3.045,1.313
030018b.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,43,132,3.07,1.885
030027.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,47,121,2.574,1.38
030103.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,44,140,3.182,2.319
030110.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,47,111,2.362,1.59
030117.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,39,100,2.564,1.549
030124.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,41,146,3.561,2.153
030202.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,45,126,2.8,1.881
030210.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,40,122,3.05,1.897
030216.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,48,175,3.646,1.689
030223.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,46,106,2.304,1.412
030307a.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,47,141,3,1.726
030307b.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,46,141,3.065,2.026
030313.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,177,3.54,2.147
030320.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,43,146,3.395,2.201
030328.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,48,121,2.521,1.384
030401.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,47,147,3.128,1.829
030409.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,159,3.18,2.037
030416.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,43,121,2.814,1.858
030426.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,45,134,2.978,1.915
030501.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,44,139,3.159,2.458
030507.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,47,152,3.234,1.915
030513.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,45,137,3.044,1.977
030520.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,47,125,2.66,1.628
030606.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,48,181,3.771,2.687
030616.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,154,3.143,1.75
030623.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,46,142,3.087,2.03
030630.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,44,173,3.932,2.209
030709.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,48,170,3.542,2.363
030716.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,185,3.776,2.013
030723.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,46,173,3.761,2.324
030730.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,48,180,3.75,2.097
030806.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,155,3.163,1.53
030812.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,48,166,3.458,1.914
030820.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,44,135,3.068,2.038
030827.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,179,3.653,2.446
030903.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,167,3.408,1.989
030918.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,118,2.36,1.466
030926a.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,41,155,3.78,2.066
030926b.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,44,166,3.773,2.245
031001.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,45,141,3.133,1.833
031009.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,39,138,3.538,2.406
031016.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,44,193,4.386,2.488
031030.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,44,141,3.205,2.262
031109.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,37,148,4,2.932
031116.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,45,156,3.467,1.809
031129.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,48,214,4.458,2.557
040005.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,43,137,3.186,2.015
040014.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,44,149,3.386,1.909
040028.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,48,239,4.979,2.75
040104.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,45,181,4.022,2.295
040111.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,47,119,2.532,1.569
040118.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,48,159,3.313,2.238
040128.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,195,3.9,2.427
040201.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,200,4,2.933
040209.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,48,170,3.542,2.01
040216.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,159,3.18,1.808
040223.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,207,4.14,2.163
040228.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,168,3.36,1.947
040307.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,175,3.571,2.213
040313.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,210,4.2,2
040319.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,28,141,5.036,2.994
040326.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,188,3.76,2.902
040401.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,193,3.939,2.142
040411.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,165,3.367,1.924
040418.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,154,3.143,1.927
040425.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,180,3.673,2.526
040504.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,174,3.551,2.408
040508.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,201,4.102,2.533
040514.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,173,3.46,1.931
040522.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,192,3.84,2.31
040529.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,207,4.14,2.307
040605.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,208,4.245,2.352
040610.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,232,4.735,2.94
040617.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,45,139,3.089,2.365
040624.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,47,184,3.915,2.102
040700.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,48,205,4.271,2.404
040711.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,159,3.245,2.42
040717.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,198,3.96,2.584
040724.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,198,4.041,3.01
040807.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,190,3.8,2.227
040813.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,193,3.939,2.583
040820.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,261,5.327,4.182
040904.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,228,4.56,2.67
040912.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,220,4.49,3.189
040919.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,174,3.48,2.238
040926.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,208,4.245,2.528
041006.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,232,4.64,3.851
041021.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,205,4.1,2.394
041027.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,243,4.86,3.105
041104.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,176,3.592,3.194
041113.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,219,4.38,2.497
041119.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,213,4.347,3.39
041126.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,185,3.7,2.012
050002.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,47,191,4.064,2.74
050010.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,171,3.49,1.886
050016.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,219,4.469,2.532
050025.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,191,3.82,1.797
050030.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,44,198,4.5,2.624
050106.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,221,4.51,2.666
