File,Language,Corpus,Code,Age,Sex,Group,Race,SES,Role,Education,Custom_field,#utterances,#morphemes,morphemes/utterances,Standard deviation
020305.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,46,85,1.848,0.751
020307.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,46,90,1.957,0.806
020319.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,47,73,1.553,0.678
020322.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,32,54,1.688,0.768
020326.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,44,71,1.614,0.681
020328.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,41,66,1.61,0.579
020410.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,48,79,1.646,0.721
020412.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,40,75,1.875,0.842
020417.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,33,57,1.727,0.862
020419.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,41,74,1.805,0.772
020426.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,30,55,1.833,0.82
020507.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,41,70,1.707,0.862
020515.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,40,74,1.85,0.963
020525.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,34,66,1.941,1.027
020530.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,38,61,1.605,0.904
020604.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,44,66,1.5,0.783
020613.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,42,75,1.786,1.081
020620.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,42,79,1.881,0.905
020630.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,40,73,1.825,0.833
020705.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,40,68,1.7,0.781
020712.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,43,102,2.372,1.258
020718.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,41,66,1.61,0.907
020728.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,44,89,2.023,0.917
020802.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,36,74,2.056,0.848
020825a.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,35,78,2.229,1.311
020825b.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,44,106,2.409,1.174
020900.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,42,96,2.286,1.35
020906.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,42,84,2,0.816
020914.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,46,95,2.065,0.965
020920.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,47,80,1.702,1.109
020929.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,36,87,2.417,1.21
