File,Language,Corpus,Code,Age,Sex,Group,Race,SES,Role,Education,Custom_field,#utterances,#morphemes,morphemes/utterances,Standard deviation
030307b.cha,eng,Brown,CHI,3;03.07,female,.,.,.,Target_Child,.,.,180,479,2.661,1.958
030313.cha,eng,Brown,CHI,3;03.13,female,.,.,.,Target_Child,.,.,339,1102,3.251,1.934
030320.cha,eng,Brown,CHI,3;03.20,female,.,.,.,Target_Child,.,.,213,597,2.803,1.866
030328.cha,eng,Brown,CHI,3;03.28,female,.,.,.,Target_Child,.,.,207,497,2.401,1.532
030401.cha,eng,Brown,CHI,3;04.01,female,.,.,.,Target_Child,.,.,255,739,2.898,1.821
030409.cha,eng,Brown,CHI,3;04.09,female,.,.,.,Target_Child,.,.,222,617,2.779,1.924
030416.cha,eng,Brown,CHI,3;04.16,female,.,.,.,Target_Child,.,.,231,589,2.55,1.658
030426.cha,eng,Brown,CHI,3;04.26,female,.,.,.,Target_Child,.,.,251,639,2.546,2.022
030501.cha,eng,Brown,CHI,3;05.01,female,.,.,.,Target_Child,.,.,174,460,2.644,1.983
030507.cha,eng,Brown,CHI,3;05.07,female,.,.,.,Target_Child,.,.,360,1048,2.911,1.84
030513.cha,eng,Brown,CHI,3;05.13,female,.,.,.,Target_Child,.,.,324,807,2.491,1.549
030520.cha,eng,Brown,CHI,3;05.20,female,.,.,.,Target_Child,.,.,252,782,3.103,2.056
030606.cha,eng,Brown,CHI,3;06.06,female,.,.,.,Target_Child,.,.,277,815,2.942,2.103
030616.cha,eng,Brown,CHI,3;06.16,female,.,.,.,Target_Child,.,.,211,640,3.033,2.143
030623.cha,eng,Brown,CHI,3;06.23,female,.,.,.,Target_Child,.,.,197,659,3.345,2.247
030630.cha,eng,Brown,CHI,3;06.30,female,.,.,.,Target_Child,.,.,244,900,3.689,2.411
030709.cha,eng,Brown,CHI,3;07.09,female,.,.,.,Target_Child,.,.,200,687,3.435,2.199
030716.cha,eng,Brown,CHI,3;07.16,female,.,.,.,Target_Child,.,.,149,583,3.913,2.036
030723.cha,eng,Brown,CHI,3;07.23,female,.,.,.,Target_Child,.,.,162,560,3.457,2.088
030730.cha,eng,Brown,CHI,3;07.30,female,.,.,.,Target_Child,.,.,182,625,3.434,2.195
030806.cha,eng,Brown,CHI,3;08.06,female,.,.,.,Target_Child,.,.,246,861,3.5,2.05
030812.cha,eng,Brown,CHI,3;08.12,female,.,.,.,Target_Child,.,.,156,526,3.372,2.176
030820.cha,eng,Brown,CHI,3;08.20,female,.,.,.,Target_Child,.,.,184,662,3.598,2.509
030827.cha,eng,Brown,CHI,3;08.27,female,.,.,.,Target_Child,.,.,225,701,3.116,2.343
030903.cha,eng,Brown,CHI,3;09.03,female,.,.,.,Target_Child,.,.,211,654,3.1,2.096
030918.cha,eng,Brown,CHI,3;09.18,female,.,.,.,Target_Child,.,.,140,374,2.671,1.758
030926a.cha,eng,Brown,CHI,3;09.26,female,.,.,.,Target_Child,.,.,210,745,3.548,2.024
030926b.cha,eng,Brown,CHI,3;09.26,female,.,.,.,Target_Child,.,.,163,581,3.564,2.04
031001.cha,eng,Brown,CHI,3;10.01,female,.,.,.,Target_Child,.,.,182,542,2.978,2.089
031009.cha,eng,Brown,CHI,3;10.09,female,.,.,.,Target_Child,.,.,161,536,3.329,2.178
031016.cha,eng,Brown,CHI,3;10.16,female,.,.,.,Target_Child,.,.,233,850,3.648,2.433
031030.cha,eng,Brown,CHI,3;10.30,female,.,.,.,Target_Child,.,.,242,799,3.302,2.494
031109.cha,eng,Brown,CHI,3;11.09,female,.,.,.,Target_Child,.,.,51,182,3.569,2.673
031116.cha,eng,Brown,CHI,3;11.16,female,.,.,.,Target_Child,.,.,256,810,3.164,2.087
031129.cha,eng,Brown,CHI,3;11.29,female,.,.,.,Target_Child,.,.,115,396,3.443,2.334
040005.cha,eng,Brown,CHI,4;00.05,female,.,.,.,Target_Child,.,.,267,752,2.816,1.834
040014.cha,eng,Brown,CHI,4;00.14,female,.,.,.,Target_Child,.,.,225,805,3.578,2.603
040028.cha,eng,Brown,CHI,4;00.28,female,.,.,.,Target_Child,.,.,301,1159,3.85,2.265
040104.cha,eng,Brown,CHI,4;01.04,female,.,.,.,Target_Child,.,.,323,1047,3.241,2.304
040111.cha,eng,Brown,CHI,4;01.11,female,.,.,.,Target_Child,.,.,343,1092,3.184,2.201
040118.cha,eng,Brown,CHI,4;01.18,female,.,.,.,Target_Child,.,.,187,660,3.529,2.059
040128.cha,eng,Brown,CHI,4;01.28,female,.,.,.,Target_Child,.,.,265,1053,3.974,2.545
040201.cha,eng,Brown,CHI,4;02.01,female,.,.,.,Target_Child,.,.,297,1109,3.734,2.351
040209.cha,eng,Brown,CHI,4;02.09,female,.,.,.,Target_Child,.,.,254,874,3.441,2.208
040216.cha,eng,Brown,CHI,4;02.16,female,.,.,.,Target_Child,.,.,238,761,3.197,2.381
040223.cha,eng,Brown,CHI,4;02.23,female,.,.,.,Target_Child,.,.,232,878,3.784,2.337
040228.cha,eng,Brown,CHI,4;02.28,female,.,.,.,Target_Child,.,.,288,992,3.444,2.109
040307.cha,eng,Brown,CHI,4;03.07,female,.,.,.,Target_Child,.,.,360,1232,3.422,2.264
040313.cha,eng,Brown,CHI,4;03.13,female,.,.,.,Target_Child,.,.,261,960,3.678,2.3
040319.cha,eng,Brown,CHI,4;03.19,female,.,.,.,Target_Child,.,.,28,141,5.036,2.994
040326.cha,eng,Brown,CHI,4;03.26,female,.,.,.,Target_Child,.,.,259,1021,3.942,2.936
040401.cha,eng,Brown,CHI,4;04.01,female,.,.,.,Target_Child,.,.,236,816,3.458,2.447
040411.cha,eng,Brown,CHI,4;04.11,female,.,.,.,Target_Child,.,.,286,949,3.318,2.239
040418.cha,eng,Brown,CHI,4;04.18,female,.,.,.,Target_Child,.,.,249,780,3.133,2.081
040425.cha,eng,Brown,CHI,4;04.25,female,.,.,.,Target_Child,.,.,268,1035,3.862,2.622
